"","QuerySeq","Subject","Identity","AlignLength","Mismatches","GapOpenings","QStart","QEnd","SStart","SEnd","EValue","Bitscore","Species","QuerySeq_sub","Function","Group"
"269","sp|O04379|AGO1_ARATH","Gorgonia_ventalina_62465",46.573,496,232,10,513,1004,1,467,1.45e-140,430,"gven","O04379","Plant: miRNA effector — guides RISC (AGO1)","Cnidarian"
"270","sp|Q9ZVD5|AGO4_ARATH","Gorgonia_ventalina_62465",36.066,488,267,14,431,901,16,475,1.81e-88,290,"gven","Q9ZVD5","Plant: miRNA effector — guides RISC (AGO4)","Cnidarian"
"271","sp|Q9NRR4|RNC_HUMAN","Hydra_magnapapillata_10769",40.625,192,109,3,1008,1196,2,191,1.66e-40,146,"hmag","Q9NRR4","Human: RNase III – primary cleavage of pri-miRNA (Drosha)","Cnidarian"
"272","sp|Q9NRR4|RNC_HUMAN","Hydra_magnapapillata_10769",40.909,66,38,1,953,1018,127,191,3.95e-08,53.1,"hmag","Q9NRR4","Human: RNase III – primary cleavage of pri-miRNA (Drosha)","Cnidarian"
"273","sp|Q9UPY3|DICER_HUMAN","Hydra_magnapapillata_2924",32.099,324,187,6,42,332,4,327,2.23e-43,160,"hmag","Q9UPY3","Human: RNase III — cleaves pre-miRNA (Dicer)","Cnidarian"
"274","sp|Q8WYQ5|DGCR8_HUMAN","Hydra_magnapapillata_8206",42.373,59,33,1,299,356,24,82,6.51e-07,49.3,"hmag","Q8WYQ5","Human: miRNA microprocessor co-factor / Dicer partner — dsRNA binding protein (DGCR8 / Pasha)","Cnidarian"
"277","sp|Q9BXP5|SRRT_HUMAN","Hydra_magnapapillata_414",36.404,912,435,26,1,876,1,803,1.58e-151,464,"hmag","Q9BXP5","Humann: Zinc finger co-factor for DCL1-HYL1 complex (ARS2)","Cnidarian"
"278","sp|Q9HAV4|XPO5_HUMAN","Hydra_magnapapillata_6268",23.077,143,106,2,64,202,73,215,1.64e-08,54.7,"hmag","Q9HAV4","Human: Nuclear export of pre-miRNA or miRNA (Exportin-5)","Cnidarian"
"279","sp|Q5T8I9|HENMT_HUMAN","Hydra_magnapapillata_14647",28.571,56,40,0,267,322,104,159,4.1,27.3,"hmag","Q5T8I9","Human: Methyltransferase — 2′-O-methylation of miRNAs (HENM1; for piRNAs)","Cnidarian"
"280","sp|Q9UL18|AGO1_HUMAN","Hydra_magnapapillata_1373",52.06,267,123,2,553,815,10,275,2.63e-89,284,"hmag","Q9UL18","Human: miRNA effector — guides RISC (AGO1)","Cnidarian"
"281","sp|Q9UKV8|AGO2_HUMAN","Hydra_magnapapillata_1373",56.18,267,112,3,555,817,10,275,1.9e-97,305,"hmag","Q9UKV8","Human: miRNA effector — guides RISC (AGO2)","Cnidarian"
"282","sp|Q9SP32|DCL1_ARATH","Hydra_magnapapillata_2924",35.061,328,198,5,244,560,1,324,6.9e-47,170,"hmag","Q9SP32","Plant: RNase III — cleaves pre-miRNA (DCL1)","Cnidarian"
"283","sp|O04492|DRB1_ARATH","Hydra_magnapapillata_6561",37.333,75,38,2,16,87,143,211,2.23e-05,43.5,"hmag","O04492","Plant: miRNA microprocessor co-factor / Dicer partner — dsRNA binding protein (HYL1)","Cnidarian"
"284","sp|Q9ZVD0|SRRT_ARATH","Hydra_magnapapillata_414",34.416,154,84,4,114,250,16,169,2.71e-13,71.6,"hmag","Q9ZVD0","Plant: Zinc finger co-factor for DCL1-HYL1 complex (Serrate)","Cnidarian"
"285","sp|Q9ZVD0|SRRT_ARATH","Hydra_magnapapillata_414",24.503,151,93,5,413,551,559,700,0.001,40.4,"hmag","Q9ZVD0","Plant: Zinc finger co-factor for DCL1-HYL1 complex (Serrate)","Cnidarian"
"286","sp|Q0WP44|HASTY_ARATH","Hydra_magnapapillata_13517",54.545,22,8,1,686,705,46,67,8.3,28.1,"hmag","Q0WP44","Plant: Nuclear export of pre-miRNA or miRNA (Hasty)","Cnidarian"
"287","sp|Q9C5Q8|HEN1_ARATH","Hydra_magnapapillata_4436",40.476,42,25,0,766,807,185,226,0.61,31.6,"hmag","Q9C5Q8","Plant: Methyltransferase — 2′-O-methylation of miRNAs (Hen1)","Cnidarian"
"288","sp|O04379|AGO1_ARATH","Hydra_magnapapillata_1373",47.5,280,127,5,720,997,15,276,2.41e-72,241,"hmag","O04379","Plant: miRNA effector — guides RISC (AGO1)","Cnidarian"
"289","sp|Q9ZVD5|AGO4_ARATH","Hydra_magnapapillata_1373",38.376,271,147,7,614,877,11,268,1.74e-44,162,"hmag","Q9ZVD5","Plant: miRNA effector — guides RISC (AGO4)","Cnidarian"
"290","sp|Q9NRR4|RNC_HUMAN","Madracis_auretenra_33480",64.953,214,75,0,887,1100,1,214,1.04e-94,303,"maur","Q9NRR4","Human: RNase III – primary cleavage of pri-miRNA (Drosha)","Coral"
"291","sp|Q9NRR4|RNC_HUMAN","Madracis_auretenra_33480",32.075,106,70,2,1142,1245,78,183,1.31e-11,65.1,"maur","Q9NRR4","Human: RNase III – primary cleavage of pri-miRNA (Drosha)","Coral"
"292","sp|Q9UPY3|DICER_HUMAN","Madracis_auretenra_56101",36.705,959,512,23,133,1077,6,883,1.64e-155,503,"maur","Q9UPY3","Human: RNase III — cleaves pre-miRNA (Dicer)","Coral"
"293","sp|Q8WYQ5|DGCR8_HUMAN","Madracis_auretenra_56665",37.304,319,174,8,433,742,67,368,3.9e-58,202,"maur","Q8WYQ5","Human: miRNA microprocessor co-factor / Dicer partner — dsRNA binding protein (DGCR8 / Pasha)","Coral"
"295","sp|Q9BXP5|SRRT_HUMAN","Madracis_auretenra_14078",46.923,260,118,8,1,251,1,249,7.23e-54,187,"maur","Q9BXP5","Humann: Zinc finger co-factor for DCL1-HYL1 complex (ARS2)","Coral"
"296","sp|Q9HAV4|XPO5_HUMAN","Madracis_auretenra_22303",35.644,202,116,7,1009,1204,1,194,1.08e-28,114,"maur","Q9HAV4","Human: Nuclear export of pre-miRNA or miRNA (Exportin-5)","Coral"
"297","sp|Q5T8I9|HENMT_HUMAN","Madracis_auretenra_19810",47.015,134,70,1,77,209,1,134,5.43e-38,133,"maur","Q5T8I9","Human: Methyltransferase — 2′-O-methylation of miRNAs (HENM1; for piRNAs)","Coral"
"298","sp|Q9UL18|AGO1_HUMAN","Madracis_auretenra_45258",66.865,842,273,6,21,857,14,854,0,1201,"maur","Q9UL18","Human: miRNA effector — guides RISC (AGO1)","Coral"
"299","sp|Q9UKV8|AGO2_HUMAN","Madracis_auretenra_45258",68.757,845,258,5,20,859,11,854,0,1222,"maur","Q9UKV8","Human: miRNA effector — guides RISC (AGO2)","Coral"
"300","sp|Q9SP32|DCL1_ARATH","Madracis_auretenra_35230",35.425,494,262,14,1359,1801,29,516,2.92e-69,243,"maur","Q9SP32","Plant: RNase III — cleaves pre-miRNA (DCL1)","Coral"
"301","sp|O04492|DRB1_ARATH","Madracis_auretenra_48396",35.714,84,49,1,85,168,216,294,3.22e-07,51.2,"maur","O04492","Plant: miRNA microprocessor co-factor / Dicer partner — dsRNA binding protein (HYL1)","Coral"
"302","sp|O04492|DRB1_ARATH","Madracis_auretenra_48396",43.939,66,32,2,17,82,234,294,5.86e-05,43.9,"maur","O04492","Plant: miRNA microprocessor co-factor / Dicer partner — dsRNA binding protein (HYL1)","Coral"
"303","sp|O04492|DRB1_ARATH","Madracis_auretenra_48396",37.681,69,37,2,16,82,79,143,0.002,39.7,"maur","O04492","Plant: miRNA microprocessor co-factor / Dicer partner — dsRNA binding protein (HYL1)","Coral"
"304","sp|Q9ZVD0|SRRT_ARATH","Madracis_auretenra_14078",37.931,87,54,0,194,280,146,232,1.09e-11,65.1,"maur","Q9ZVD0","Plant: Zinc finger co-factor for DCL1-HYL1 complex (Serrate)","Coral"
"305","sp|Q0WP44|HASTY_ARATH","Madracis_auretenra_22303",25.157,159,111,4,1012,1164,2,158,0.009,38.5,"maur","Q0WP44","Plant: Nuclear export of pre-miRNA or miRNA (Hasty)","Coral"
"306","sp|Q9C5Q8|HEN1_ARATH","Madracis_auretenra_19810",41.026,117,55,1,772,888,32,134,1.96e-24,99,"maur","Q9C5Q8","Plant: Methyltransferase — 2′-O-methylation of miRNAs (Hen1)","Coral"
"307","sp|O04379|AGO1_ARATH","Madracis_auretenra_45258",44.052,849,423,16,177,1009,14,826,0,705,"maur","O04379","Plant: miRNA effector — guides RISC (AGO1)","Coral"
"308","sp|Q9ZVD5|AGO4_ARATH","Madracis_auretenra_45258",34.763,886,479,28,47,898,7,827,9.73e-140,437,"maur","Q9ZVD5","Plant: miRNA effector — guides RISC (AGO4)","Coral"
"309","sp|Q9NRR4|RNC_HUMAN","Monosiga_brevicollis_1963",41.304,92,51,1,965,1056,318,406,2.02e-12,70.5,"mbre","Q9NRR4","Human: RNase III – primary cleavage of pri-miRNA (Drosha)","Choanozoan"
"310","sp|Q9NRR4|RNC_HUMAN","Monosiga_brevicollis_1963",26.829,205,121,6,1143,1334,318,506,5.29e-12,68.9,"mbre","Q9NRR4","Human: RNase III – primary cleavage of pri-miRNA (Drosha)","Choanozoan"
"311","sp|Q9UPY3|DICER_HUMAN","Monosiga_brevicollis_5812",27.329,161,100,5,54,208,192,341,1.45e-06,52.4,"mbre","Q9UPY3","Human: RNase III — cleaves pre-miRNA (Dicer)","Choanozoan"
"312","sp|Q9UPY3|DICER_HUMAN","Monosiga_brevicollis_5812",37.037,54,34,0,499,552,588,641,0.00071,43.5,"mbre","Q9UPY3","Human: RNase III — cleaves pre-miRNA (Dicer)","Choanozoan"
"313","sp|Q8WYQ5|DGCR8_HUMAN","Monosiga_brevicollis_3046",46.875,32,17,0,301,332,55,86,0.001,40.8,"mbre","Q8WYQ5","Human: miRNA microprocessor co-factor / Dicer partner — dsRNA binding protein (DGCR8 / Pasha)","Choanozoan"
"316","sp|Q9BXP5|SRRT_HUMAN","Monosiga_brevicollis_8893",29.341,167,104,3,602,760,294,454,7.28e-14,73.9,"mbre","Q9BXP5","Humann: Zinc finger co-factor for DCL1-HYL1 complex (ARS2)","Choanozoan"
"317","sp|Q9BXP5|SRRT_HUMAN","Monosiga_brevicollis_8893",30.645,62,40,1,192,250,3,64,0.72,32,"mbre","Q9BXP5","Humann: Zinc finger co-factor for DCL1-HYL1 complex (ARS2)","Choanozoan"
"318","sp|Q9BXP5|SRRT_HUMAN","Monosiga_brevicollis_8893",27.273,66,45,2,406,469,162,226,1.7,30.8,"mbre","Q9BXP5","Humann: Zinc finger co-factor for DCL1-HYL1 complex (ARS2)","Choanozoan"
"319","sp|Q9HAV4|XPO5_HUMAN","Monosiga_brevicollis_6224",25.649,1232,780,39,21,1176,1,1172,2.53e-79,283,"mbre","Q9HAV4","Human: Nuclear export of pre-miRNA or miRNA (Exportin-5)","Choanozoan"
"320","sp|Q5T8I9|HENMT_HUMAN","Monosiga_brevicollis_3001",30.909,55,37,1,31,85,48,101,0.08,33.5,"mbre","Q5T8I9","Human: Methyltransferase — 2′-O-methylation of miRNAs (HENM1; for piRNAs)","Choanozoan"
"321","sp|Q9UL18|AGO1_HUMAN","Monosiga_brevicollis_5532",28.736,87,55,3,212,298,26,105,0.051,36.2,"mbre","Q9UL18","Human: miRNA effector — guides RISC (AGO1)","Choanozoan"
"322","sp|Q9UKV8|AGO2_HUMAN","Monosiga_brevicollis_5656",27.273,77,47,3,107,182,263,331,2.4,30.4,"mbre","Q9UKV8","Human: miRNA effector — guides RISC (AGO2)","Choanozoan"
"323","sp|Q9SP32|DCL1_ARATH","Monosiga_brevicollis_1963",31.008,129,63,2,1579,1707,304,406,2.79e-06,50.8,"mbre","Q9SP32","Plant: RNase III — cleaves pre-miRNA (DCL1)","Choanozoan"
"324","sp|Q9SP32|DCL1_ARATH","Monosiga_brevicollis_1963",34.483,58,38,0,1375,1432,319,376,0.13,35.8,"mbre","Q9SP32","Plant: RNase III — cleaves pre-miRNA (DCL1)","Choanozoan"
"325","sp|O04492|DRB1_ARATH","Monosiga_brevicollis_9040",26.126,111,70,3,21,119,3731,3841,0.017,36.2,"mbre","O04492","Plant: miRNA microprocessor co-factor / Dicer partner — dsRNA binding protein (HYL1)","Choanozoan"
"326","sp|Q9ZVD0|SRRT_ARATH","Monosiga_brevicollis_8893",26.543,162,97,6,403,550,301,454,0.012,37.4,"mbre","Q9ZVD0","Plant: Zinc finger co-factor for DCL1-HYL1 complex (Serrate)","Choanozoan"
"327","sp|Q0WP44|HASTY_ARATH","Monosiga_brevicollis_6224",20.17,1056,660,32,22,972,4,981,2.45e-21,99.8,"mbre","Q0WP44","Plant: Nuclear export of pre-miRNA or miRNA (Hasty)","Choanozoan"
"328","sp|Q9C5Q8|HEN1_ARATH","Monosiga_brevicollis_834",38.298,47,27,1,696,742,82,126,1.1,31.6,"mbre","Q9C5Q8","Plant: Methyltransferase — 2′-O-methylation of miRNAs (Hen1)","Choanozoan"
"329","sp|Q9ZVD5|AGO4_ARATH","Monosiga_brevicollis_451",29.114,79,44,3,818,886,485,561,0.86,32,"mbre","Q9ZVD5","Plant: miRNA effector — guides RISC (AGO4)","Choanozoan"
"330","sp|Q9NRR4|RNC_HUMAN","Montipora_capitata_HIv3___RNAseq.g40601.t1",54.971,855,366,8,505,1349,844,1689,0,978,"mcap","Q9NRR4","Human: RNase III – primary cleavage of pri-miRNA (Drosha)","Coral"
"331","sp|Q9NRR4|RNC_HUMAN","Montipora_capitata_HIv3___RNAseq.g40601.t1",21.267,221,151,5,263,478,1678,1880,1.7,33.9,"mcap","Q9NRR4","Human: RNase III – primary cleavage of pri-miRNA (Drosha)","Coral"
"332","sp|Q9UPY3|DICER_HUMAN","Montipora_capitata_HIv3___RNAseq.g15170.t1",34.615,1066,571,27,45,1083,29,995,9.93e-175,575,"mcap","Q9UPY3","Human: RNase III — cleaves pre-miRNA (Dicer)","Coral"
"333","sp|Q9UPY3|DICER_HUMAN","Montipora_capitata_HIv3___RNAseq.g15170.t1",42.12,368,177,7,1552,1913,1221,1558,1.32e-71,266,"mcap","Q9UPY3","Human: RNase III — cleaves pre-miRNA (Dicer)","Coral"
"334","sp|Q9UPY3|DICER_HUMAN","Montipora_capitata_HIv3___RNAseq.g15170.t1",40.86,93,54,1,1292,1384,1082,1173,1.67e-13,77,"mcap","Q9UPY3","Human: RNase III — cleaves pre-miRNA (Dicer)","Coral"
"335","sp|Q9UPY3|DICER_HUMAN","Montipora_capitata_HIv3___RNAseq.g15170.t1",24.405,168,99,6,1679,1824,1083,1244,0.056,39.3,"mcap","Q9UPY3","Human: RNase III — cleaves pre-miRNA (Dicer)","Coral"
"336","sp|Q9UPY3|DICER_HUMAN","Montipora_capitata_HIv3___RNAseq.g15170.t1",32.258,93,52,4,1266,1353,1299,1385,3.7,33.1,"mcap","Q9UPY3","Human: RNase III — cleaves pre-miRNA (Dicer)","Coral"
"337","sp|Q8WYQ5|DGCR8_HUMAN","Montipora_capitata_HIv3___RNAseq.g8840.t1",36.897,290,164,6,433,714,182,460,2.16e-39,155,"mcap","Q8WYQ5","Human: miRNA microprocessor co-factor / Dicer partner — dsRNA binding protein (DGCR8 / Pasha)","Coral"
"338","sp|Q8WYQ5|DGCR8_HUMAN","Montipora_capitata_HIv3___RNAseq.g8840.t1",66.667,18,6,0,340,357,19,36,1.8,32.7,"mcap","Q8WYQ5","Human: miRNA microprocessor co-factor / Dicer partner — dsRNA binding protein (DGCR8 / Pasha)","Coral"
"342","sp|Q9BXP5|SRRT_HUMAN","Montipora_capitata_HIv3___TS.g29815.t1",47.409,521,211,10,326,808,727,1222,1e-131,426,"mcap","Q9BXP5","Humann: Zinc finger co-factor for DCL1-HYL1 complex (ARS2)","Coral"
"343","sp|Q9BXP5|SRRT_HUMAN","Montipora_capitata_HIv3___TS.g29815.t1",39.683,315,134,9,1,269,1,305,8.38e-49,188,"mcap","Q9BXP5","Humann: Zinc finger co-factor for DCL1-HYL1 complex (ARS2)","Coral"
"344","sp|Q9HAV4|XPO5_HUMAN","Montipora_capitata_HIv3___RNAseq.g14674.t1",33.793,1234,748,24,6,1204,7,1206,0,700,"mcap","Q9HAV4","Human: Nuclear export of pre-miRNA or miRNA (Exportin-5)","Coral"
"345","sp|Q5T8I9|HENMT_HUMAN","Montipora_capitata_HIv3___TS.g46924.t1",32.891,377,218,6,26,380,45,408,2.43e-55,191,"mcap","Q5T8I9","Human: Methyltransferase — 2′-O-methylation of miRNAs (HENM1; for piRNAs)","Coral"
"346","sp|Q9UL18|AGO1_HUMAN","Montipora_capitata_HIv3___RNAseq.g37396.t1",63.881,706,251,4,21,723,14,718,0,963,"mcap","Q9UL18","Human: miRNA effector — guides RISC (AGO1)","Coral"
"347","sp|Q9UKV8|AGO2_HUMAN","Montipora_capitata_HIv3___RNAseq.g37396.t1",65.726,709,239,4,20,725,11,718,0,979,"mcap","Q9UKV8","Human: miRNA effector — guides RISC (AGO2)","Coral"
"348","sp|Q9SP32|DCL1_ARATH","Montipora_capitata_HIv3___RNAseq.g16466.t1",33.061,735,388,26,222,927,4,663,3.47e-82,300,"mcap","Q9SP32","Plant: RNase III — cleaves pre-miRNA (DCL1)","Coral"
"349","sp|Q9SP32|DCL1_ARATH","Montipora_capitata_HIv3___RNAseq.g16466.t1",31.298,524,299,15,1330,1802,1038,1551,4.43e-58,223,"mcap","Q9SP32","Plant: RNase III — cleaves pre-miRNA (DCL1)","Coral"
"350","sp|Q9SP32|DCL1_ARATH","Montipora_capitata_HIv3___RNAseq.g16466.t1",34.109,129,73,2,1223,1351,869,985,2.69e-10,66.6,"mcap","Q9SP32","Plant: RNase III — cleaves pre-miRNA (DCL1)","Coral"
"351","sp|O04492|DRB1_ARATH","Montipora_capitata_HIv3___RNAseq.g47961.t1",37.879,66,36,1,103,168,608,668,8.68e-05,45.4,"mcap","O04492","Plant: miRNA microprocessor co-factor / Dicer partner — dsRNA binding protein (HYL1)","Coral"
"352","sp|O04492|DRB1_ARATH","Montipora_capitata_HIv3___RNAseq.g47961.t1",35.897,78,46,2,5,82,424,497,0.000873,42.4,"mcap","O04492","Plant: miRNA microprocessor co-factor / Dicer partner — dsRNA binding protein (HYL1)","Coral"
"353","sp|O04492|DRB1_ARATH","Montipora_capitata_HIv3___RNAseq.g47961.t1",41.791,67,34,2,17,83,608,669,0.002,41.2,"mcap","O04492","Plant: miRNA microprocessor co-factor / Dicer partner — dsRNA binding protein (HYL1)","Coral"
"354","sp|O04492|DRB1_ARATH","Montipora_capitata_HIv3___RNAseq.g47961.t1",23.438,192,98,7,9,165,317,494,5.1,30,"mcap","O04492","Plant: miRNA microprocessor co-factor / Dicer partner — dsRNA binding protein (HYL1)","Coral"
"355","sp|Q9ZVD0|SRRT_ARATH","Montipora_capitata_HIv3___TS.g29815.t1",28.144,167,96,6,402,550,1022,1182,4.19e-05,47.8,"mcap","Q9ZVD0","Plant: Zinc finger co-factor for DCL1-HYL1 complex (Serrate)","Coral"
"356","sp|Q9ZVD0|SRRT_ARATH","Montipora_capitata_HIv3___TS.g29815.t1",41.667,48,28,0,194,241,150,197,0.000107,46.2,"mcap","Q9ZVD0","Plant: Zinc finger co-factor for DCL1-HYL1 complex (Serrate)","Coral"
"357","sp|Q0WP44|HASTY_ARATH","Montipora_capitata_HIv3___RNAseq.g14674.t1",21.411,397,277,7,3,377,6,389,3.21e-21,101,"mcap","Q0WP44","Plant: Nuclear export of pre-miRNA or miRNA (Hasty)","Coral"
"358","sp|Q0WP44|HASTY_ARATH","Montipora_capitata_HIv3___RNAseq.g14674.t1",19.581,669,440,22,551,1164,546,1171,2.09e-12,72.4,"mcap","Q0WP44","Plant: Nuclear export of pre-miRNA or miRNA (Hasty)","Coral"
"359","sp|Q9C5Q8|HEN1_ARATH","Montipora_capitata_HIv3___TS.g46924.t1",31.618,272,147,6,679,927,32,287,3.34e-32,133,"mcap","Q9C5Q8","Plant: Methyltransferase — 2′-O-methylation of miRNAs (Hen1)","Coral"
"360","sp|O04379|AGO1_ARATH","Montipora_capitata_HIv3___TS.g29877.t1",39.493,947,492,28,78,996,201,1094,0,611,"mcap","O04379","Plant: miRNA effector — guides RISC (AGO1)","Coral"
"361","sp|Q9ZVD5|AGO4_ARATH","Montipora_capitata_HIv3___RNAseq.g24686.t1",32.453,909,496,34,56,923,420,1251,6.73e-129,419,"mcap","Q9ZVD5","Plant: miRNA effector — guides RISC (AGO4)","Coral"
"362","sp|Q9NRR4|RNC_HUMAN","Montastraea_cavernosa_18469",56.086,879,361,9,505,1371,41,906,0,1023,"mcav","Q9NRR4","Human: RNase III – primary cleavage of pri-miRNA (Drosha)","Coral"
"363","sp|Q9UPY3|DICER_HUMAN","Montastraea_cavernosa_73966",39.514,658,336,10,42,684,22,632,1.71e-140,451,"mcav","Q9UPY3","Human: RNase III — cleaves pre-miRNA (Dicer)","Coral"
"364","sp|Q8WYQ5|DGCR8_HUMAN","Montastraea_cavernosa_49417",42.754,276,150,3,499,773,395,663,3.29e-62,221,"mcav","Q8WYQ5","Human: miRNA microprocessor co-factor / Dicer partner — dsRNA binding protein (DGCR8 / Pasha)","Coral"
"365","sp|Q8WYQ5|DGCR8_HUMAN","Montastraea_cavernosa_49417",55.072,69,31,0,289,357,99,167,8.53e-20,94,"mcav","Q8WYQ5","Human: miRNA microprocessor co-factor / Dicer partner — dsRNA binding protein (DGCR8 / Pasha)","Coral"
"367","sp|Q9BXP5|SRRT_HUMAN","Montastraea_cavernosa_98251",48.762,525,214,13,380,865,435,943,2.76e-144,451,"mcav","Q9BXP5","Humann: Zinc finger co-factor for DCL1-HYL1 complex (ARS2)","Coral"
"368","sp|Q9HAV4|XPO5_HUMAN","Montastraea_cavernosa_88252",40.13,461,269,3,13,466,14,474,1.76e-113,363,"mcav","Q9HAV4","Human: Nuclear export of pre-miRNA or miRNA (Exportin-5)","Coral"
"369","sp|Q5T8I9|HENMT_HUMAN","Montastraea_cavernosa_88910",43.81,210,114,2,26,231,34,243,6.01e-58,197,"mcav","Q5T8I9","Human: Methyltransferase — 2′-O-methylation of miRNAs (HENM1; for piRNAs)","Coral"
"370","sp|Q9UL18|AGO1_HUMAN","Montastraea_cavernosa_91296",67.497,843,266,6,21,857,14,854,0,1210,"mcav","Q9UL18","Human: miRNA effector — guides RISC (AGO1)","Coral"
"371","sp|Q9UKV8|AGO2_HUMAN","Montastraea_cavernosa_91296",68.521,845,260,5,20,859,11,854,0,1222,"mcav","Q9UKV8","Human: miRNA effector — guides RISC (AGO2)","Coral"
"372","sp|Q9SP32|DCL1_ARATH","Montastraea_cavernosa_73966",32.792,677,358,20,249,896,24,632,1.3e-86,297,"mcav","Q9SP32","Plant: RNase III — cleaves pre-miRNA (DCL1)","Coral"
"373","sp|O04492|DRB1_ARATH","Montastraea_cavernosa_115239",31.98,197,106,6,1,178,105,292,1.43e-08,55.8,"mcav","O04492","Plant: miRNA microprocessor co-factor / Dicer partner — dsRNA binding protein (HYL1)","Coral"
"374","sp|Q9ZVD0|SRRT_ARATH","Montastraea_cavernosa_98250",31.169,154,80,5,109,256,2,135,6.99e-11,60.5,"mcav","Q9ZVD0","Plant: Zinc finger co-factor for DCL1-HYL1 complex (Serrate)","Coral"
"375","sp|Q0WP44|HASTY_ARATH","Montastraea_cavernosa_88252",21.554,399,287,10,10,389,13,404,2.21e-19,92.8,"mcav","Q0WP44","Plant: Nuclear export of pre-miRNA or miRNA (Hasty)","Coral"
"376","sp|Q9C5Q8|HEN1_ARATH","Montastraea_cavernosa_88910",34.921,252,141,5,684,927,26,262,2.62e-38,150,"mcav","Q9C5Q8","Plant: Methyltransferase — 2′-O-methylation of miRNAs (Hen1)","Coral"
"377","sp|O04379|AGO1_ARATH","Montastraea_cavernosa_91296",44.523,849,419,16,177,1009,14,826,0,718,"mcav","O04379","Plant: miRNA effector — guides RISC (AGO1)","Coral"
"378","sp|Q9ZVD5|AGO4_ARATH","Montastraea_cavernosa_91296",33.919,911,504,27,47,923,7,853,2.06e-141,441,"mcav","Q9ZVD5","Plant: miRNA effector — guides RISC (AGO4)","Coral"
"379","sp|Q9NRR4|RNC_HUMAN","Mnemiopsis_leidyi_5193",34.694,49,27,1,76,119,212,260,0.18,30.8,"mnem","Q9NRR4","Human: RNase III – primary cleavage of pri-miRNA (Drosha)","Ctenophore"
"380","sp|Q9UPY3|DICER_HUMAN","Mnemiopsis_leidyi_1810",29.213,89,56,2,505,592,153,235,1.42e-06,47.8,"mnem","Q9UPY3","Human: RNase III — cleaves pre-miRNA (Dicer)","Ctenophore"
"381","sp|Q8WYQ5|DGCR8_HUMAN","Mnemiopsis_leidyi_8807",32.203,59,34,1,114,166,38,96,3.6,25.8,"mnem","Q8WYQ5","Human: miRNA microprocessor co-factor / Dicer partner — dsRNA binding protein (DGCR8 / Pasha)","Ctenophore"
"383","sp|Q9BXP5|SRRT_HUMAN","Mnemiopsis_leidyi_1092",39.474,38,22,1,763,800,62,98,2.7,25.4,"mnem","Q9BXP5","Humann: Zinc finger co-factor for DCL1-HYL1 complex (ARS2)","Ctenophore"
"384","sp|Q9HAV4|XPO5_HUMAN","Mnemiopsis_leidyi_110",42.857,21,12,0,431,451,76,96,3.7,25.4,"mnem","Q9HAV4","Human: Nuclear export of pre-miRNA or miRNA (Exportin-5)","Ctenophore"
"385","sp|Q5T8I9|HENMT_HUMAN","Mnemiopsis_leidyi_7587",25,104,60,4,210,303,6,101,0.99,26.6,"mnem","Q5T8I9","Human: Methyltransferase — 2′-O-methylation of miRNAs (HENM1; for piRNAs)","Ctenophore"
"386","sp|Q9UL18|AGO1_HUMAN","Mnemiopsis_leidyi_6133",65.169,89,31,0,724,812,2,90,1.33e-36,129,"mnem","Q9UL18","Human: miRNA effector — guides RISC (AGO1)","Ctenophore"
"387","sp|Q9UKV8|AGO2_HUMAN","Mnemiopsis_leidyi_6133",67.416,89,29,0,726,814,2,90,4.53e-38,134,"mnem","Q9UKV8","Human: miRNA effector — guides RISC (AGO2)","Ctenophore"
"388","sp|Q9SP32|DCL1_ARATH","Mnemiopsis_leidyi_1810",31.746,63,43,0,706,768,143,205,7.02e-05,42.4,"mnem","Q9SP32","Plant: RNase III — cleaves pre-miRNA (DCL1)","Ctenophore"
"389","sp|O04492|DRB1_ARATH","Mnemiopsis_leidyi_4769",30.769,78,33,3,233,310,26,82,0.61,26.6,"mnem","O04492","Plant: miRNA microprocessor co-factor / Dicer partner — dsRNA binding protein (HYL1)","Ctenophore"
"390","sp|Q9ZVD0|SRRT_ARATH","Mnemiopsis_leidyi_8832",52,25,11,1,640,664,14,37,0.65,27.7,"mnem","Q9ZVD0","Plant: Zinc finger co-factor for DCL1-HYL1 complex (Serrate)","Ctenophore"
"391","sp|Q0WP44|HASTY_ARATH","Mnemiopsis_leidyi_8545",25.397,63,31,1,687,733,67,129,4.7,25.4,"mnem","Q0WP44","Plant: Nuclear export of pre-miRNA or miRNA (Hasty)","Ctenophore"
"392","sp|Q9C5Q8|HEN1_ARATH","Mnemiopsis_leidyi_8668",30.769,52,32,1,53,104,22,69,0.69,28.1,"mnem","Q9C5Q8","Plant: Methyltransferase — 2′-O-methylation of miRNAs (Hen1)","Ctenophore"
"393","sp|O04379|AGO1_ARATH","Mnemiopsis_leidyi_6133",60,90,36,0,904,993,1,90,1.3e-31,115,"mnem","O04379","Plant: miRNA effector — guides RISC (AGO1)","Ctenophore"
"394","sp|Q9ZVD5|AGO4_ARATH","Mnemiopsis_leidyi_6133",46.067,89,48,0,796,884,5,93,5.59e-21,85.5,"mnem","Q9ZVD5","Plant: miRNA effector — guides RISC (AGO4)","Ctenophore"
"395","sp|Q9NRR4|RNC_HUMAN","Nematostella_vectensis_6441",51.724,928,428,7,433,1351,1,917,0,984,"nvec","Q9NRR4","Human: RNase III – primary cleavage of pri-miRNA (Drosha)","Cnidarian"
